time_s,rtt_ms
0.000000,7.420
0.101074,16.000
0.202099,13.900
0.303453,16.400
0.404480,10.900
0.505307,15.800
0.605818,14.400
0.707090,16.800
0.808387,13.800
0.909350,16.200
1.010593,12.100
1.111343,15.500
1.212651,16.700
1.313341,14.700
1.414128,16.700
1.515094,14.400
1.615679,12.000
1.716782,12.900
1.817832,15.300
1.918307,11.900
2.018869,15.800
2.119264,13.100
2.220586,14.300
2.321037,16.500
2.422024,12.300
2.522689,16.600
2.624021,12.200
2.724933,11.700
2.825838,13.900
2.926783,17.000
3.027678,13.300
3.128302,15.000
3.229265,12.800
3.330032,16.500
3.431201,12.900
3.531831,16.500
3.633156,12.700
3.733886,12.000
3.834256,14.900
3.934999,17.100
4.035913,14.600
4.137366,13.500
4.237977,17.100
4.338597,15.300
4.439625,12.800
4.540708,15.300
4.641190,13.100
4.741736,16.000
4.842234,14.300
4.943279,12.200
5.044054,13.700
5.144822,16.100
5.245561,12.700
5.346397,14.500
5.447401,11.700
5.548367,14.500
5.649050,12.000
5.749582,13.400
5.850421,15.200
5.950936,13.000
6.051867,16.000
6.152927,13.200
6.253462,12.100
6.354213,16.500
6.455113,12.200
6.556717,12.800
6.657307,16.800
6.757903,16.300
6.858314,14.200
6.959012,11.200
7.059549,14.500
7.160196,15.800
7.260835,15.300
7.361301,12.200
7.462093,15.200
7.562939,17.500
7.663439,13.800
7.763993,12.400
7.865133,14.500
7.966521,15.300
8.067223,16.600
8.168032,12.800
8.268897,16.300
8.369473,14.600
8.470008,16.200
8.570414,13.800
8.670812,11.300
8.771924,15.100
8.873006,11.800
8.974738,12.600
9.075242,15.600
9.176230,12.900
9.277269,15.000
9.377746,16.200
9.478539,11.300
9.579484,14.900
9.680668,11.700
9.781397,15.200
9.882804,15.800
9.983864,16.400
10.084620,244.000
10.185571,225.000
10.286865,151.000
10.690679,121.000
10.993054,62.700
11.194164,7.700
11.295290,19.100
11.395913,13.900
11.497536,12.600
11.598572,12.200
11.699907,10.100
11.800708,19.600
11.901397,21.900
12.002601,18.300
12.103853,10.900
12.204853,12.000
12.305806,16.300
12.607955,18.500
12.709425,11.000
12.810573,23.000
12.911708,17.200
13.012459,11.500
13.113287,14.100
13.214693,12.300
13.315196,8.810
13.416110,9.750
13.517038,19.700
13.617808,14.900
13.718676,14.100
13.819272,10.900
13.919719,13.900
14.021052,15.700
14.122569,14.400
14.223573,17.200
14.324210,18.300
14.425236,15.100
14.526643,12.800
14.628404,12.700
14.729385,10.000
15.032994,17.300
15.133857,25.200
15.234493,12.100
15.334774,12.900
15.435273,15.700
15.535899,16.700
15.637286,15.900
15.738548,6.920
15.839468,12.800
15.940705,11.400
16.041740,14.900
16.142629,8.550
16.243170,19.300
16.344427,20.500
16.445590,15.900
16.547078,11.900
16.647640,11.900
16.748405,11.600
16.849220,13.800
16.949947,24.000
17.051043,15.700
17.151753,11.700
17.252708,11.400
17.353372,17.800
17.454220,8.000
17.554796,18.000
17.656069,16.500
17.756553,16.300
17.857458,15.300
17.958081,12.400
18.058623,13.700
18.159527,15.500
18.260912,15.600
18.361343,18.400
18.462854,14.100
18.563425,12.000
18.665025,12.600
18.765933,14.800
18.866960,14.100
18.967771,23.700
19.069163,15.600
19.170156,11.600
19.270875,10.500
19.372051,10.800
19.473076,12.900
19.574547,15.500
19.675184,22.100
19.776093,18.800
19.876978,17.000
19.978096,12.600
20.079556,133.000
20.181110,91.900
20.281705,16.700
20.382516,33.600
20.483050,54.500
20.583749,52.000
20.785835,93.700
20.886424,78.300
20.987206,50.800
21.088281,84.000
21.189698,31.900
21.290448,28.600
21.492658,70.000
21.593361,66.300
21.694503,75.300
21.795080,60.100
21.896065,32.500
21.996727,54.600
22.097443,63.800
22.197932,72.800
22.298628,32.500
22.399911,29.300
22.601850,106.000
22.702502,55.300
22.803150,52.900
22.903737,49.000
23.004615,44.900
23.105253,67.400
23.206212,40.000
23.306957,72.600
23.408058,69.400
23.509311,78.500
23.610578,26.500
23.711438,71.200
23.811934,69.200
23.912441,29.400
24.013324,38.500
24.114057,60.300
24.214592,69.300
24.315114,66.000
24.415956,62.600
24.516862,71.000
24.617730,56.600
24.718363,77.400
25.222449,47.600
25.423738,52.900
25.525114,73.000
25.626620,44.800
25.727469,41.300
25.929169,83.500
26.030608,67.200
26.131505,52.200
26.232395,60.700
26.332927,46.100
26.434579,54.000
26.535574,50.900
26.636462,59.600
26.737398,44.100
26.837912,28.600
26.938319,38.900
27.038833,59.900
27.140161,43.900
27.241149,28.600
27.341658,74.700
27.442287,59.500
27.542814,32.200
27.643188,53.800
27.744230,62.500
27.845669,71.100
27.946483,30.800
28.047816,27.000
28.350826,89.100
28.451996,84.400
28.553247,57.700
28.653747,30.900
28.754570,51.100
28.855436,36.500
28.956129,57.600
29.057131,41.800
29.157752,51.000
29.359711,92.400
29.460545,77.100
29.561479,49.500
29.662562,70.500
29.763805,42.500
29.864748,63.800
29.965935,60.100
30.067082,6.970
30.168245,8.640
30.268739,7.590
30.369580,6.190
30.470442,5.090
30.571158,11.100
30.672724,8.450
30.773110,7.570
30.873434,7.310
30.974856,8.990
31.075412,11.000
31.175974,8.500
31.276699,6.670
31.377528,7.620
31.478610,9.180
31.579349,11.200
31.680158,6.830
31.780797,5.720
31.881493,11.400
31.982085,9.660
32.083138,7.670
32.183743,7.870
32.284654,8.680
32.385608,10.200
32.486886,7.220
32.587824,5.190
32.688868,11.100
32.789853,9.130
32.890699,8.300
32.991566,4.690
33.092479,8.650
33.192889,9.080
33.293477,6.100
33.393918,7.490
33.494431,6.270
33.595118,10.600
33.695519,7.680
33.796542,8.200
33.897670,5.800
33.998068,10.500
34.098644,7.990
34.199330,8.950
34.501338,9.260
34.602266,8.600
34.702733,8.840
34.803156,6.380
34.904042,8.850
35.004904,9.220
35.106142,7.140
35.206768,6.030
35.308009,8.370
35.408559,11.100
35.509008,8.870
35.609689,7.070
35.710429,9.780
35.811105,8.410
35.912704,8.920
36.013355,7.730
36.114211,5.990
36.214761,12.600
36.315605,10.400
36.416370,7.060
36.517475,5.700
36.618137,10.200
36.718584,9.260
36.819357,7.020
36.920361,8.190
37.021019,7.900
37.121644,11.700
37.222511,9.630
37.323351,6.130
37.424095,5.100
37.524561,9.500
37.625266,8.540
37.725907,6.440
37.826777,7.580
37.927195,9.930
38.028465,8.410
38.129361,7.690
38.230919,6.360
38.332115,6.020
38.432855,10.800
38.533249,8.680
38.634171,6.210
38.735014,5.190
38.835719,9.920
38.936277,10.400
