time_s,qlen_pkts
0.000000,0
0.015025,0
0.030404,2
0.045149,0
0.059808,2
0.074472,6
0.089604,2
0.104705,9
0.119058,9
0.133729,9
0.148497,9
0.163146,9
0.177860,9
0.192608,7
0.207450,9
0.222003,8
0.236598,7
0.250826,9
0.266617,7
0.281185,8
0.295831,7
0.310618,9
0.325483,7
0.340057,3
0.355193,1
0.370129,3
0.385183,4
0.399742,2
0.414804,3
0.429522,2
0.443954,3
0.458269,3
0.472737,3
0.486956,5
0.501312,5
0.515919,5
0.530592,5
0.545754,5
0.560096,6
0.575033,5
0.589577,5
0.604043,6
0.618291,7
0.632711,6
0.647057,6
0.662207,7
0.676771,7
0.691127,7
0.705646,7
0.720156,10
0.734503,8
0.748939,8
0.763358,8
0.778240,10
0.792814,9
0.807144,8
0.821607,9
0.836179,10
0.850770,8
0.865473,8
0.879854,6
0.894493,2
0.908633,1
0.923111,2
0.937390,1
0.952248,3
0.966865,2
0.981191,2
0.995645,3
1.010075,4
1.024623,4
1.039084,4
1.053357,4
1.067752,5
1.083079,5
1.097671,5
1.112156,6
1.126469,8
1.140978,6
1.155325,6
1.169839,6
1.183981,6
1.198718,6
1.213578,7
1.227788,8
1.242101,7
1.256678,7
1.271016,7
1.285216,8
1.299875,8
1.314148,9
1.328183,10
1.342682,9
1.357340,8
1.371397,8
1.386184,7
1.400964,2
1.415050,2
1.429636,3
1.443907,2
1.458155,3
1.473014,3
1.487087,3
1.501670,4
1.516325,4
1.530873,4
1.545233,4
1.559955,5
1.574659,4
1.589640,5
1.604113,6
1.618476,6
1.633110,7
1.647302,6
1.662101,7
1.676914,7
1.691171,7
1.705479,7
1.719953,9
1.734509,9
1.749970,8
1.764380,8
1.778564,9
1.792902,7
1.807350,8
1.821352,10
1.835895,10
1.850600,9
1.864878,10
1.879443,10
1.893654,9
1.908036,10
1.922731,10
1.937162,10
1.951773,10
1.966225,9
1.980466,7
1.994889,1
2.010234,2
2.024981,3
2.039624,2
2.054196,2
2.068434,3
2.083180,3
2.097390,4
2.112542,3
2.127148,5
2.141322,3
2.155571,4
2.170318,5
2.184632,5
2.198770,6
2.213045,5
2.227202,7
2.241852,6
2.256506,6
2.270782,8
2.285276,8
2.299763,7
2.314115,7
2.328515,8
2.343035,7
2.357758,7
2.372147,8
2.386310,9
2.400947,9
2.415317,9
2.429737,10
2.444285,10
2.458702,9
2.472918,9
2.487415,8
2.501787,3
2.516105,2
2.530844,3
2.545327,2
2.560042,3
2.574560,3
2.589242,2
2.603630,3
2.617851,3
2.632078,4
2.646889,3
2.661082,4
2.676124,4
2.690403,4
2.704596,5
2.718890,5
2.733929,6
2.748566,5
2.763206,6
2.777483,6
2.792141,7
2.806879,7
2.821724,6
2.836118,8
2.850659,7
2.864893,8
2.879111,9
2.893902,9
2.908239,7
2.922667,8
2.937311,9
2.951718,8
2.966277,9
2.980545,9
2.995057,10
3.009854,10
3.024207,9
3.038320,10
3.052992,9
3.067585,8
3.081958,8
3.096077,6
3.110563,3
3.124653,2
3.139975,4
3.154564,3
3.169166,4
3.183704,3
3.198065,3
3.212596,4
3.226823,4
3.241213,4
3.255782,5
3.270385,4
3.284700,4
3.299447,4
3.313680,6
3.328317,7
3.342549,7
3.357317,6
3.371713,7
3.386042,7
3.400725,7
3.415264,7
3.429991,8
3.444570,8
3.458780,7
3.473523,8
3.488322,9
3.502805,9
3.516975,8
3.531545,8
3.545797,10
3.560724,9
3.575303,9
3.590451,8
3.605011,3
3.619408,2
3.634834,4
3.649692,1
3.664335,3
3.678836,2
3.693653,2
3.708098,3
3.722959,3
3.737323,4
3.751665,3
3.766230,4
3.780340,4
3.794835,4
3.809520,6
3.823956,5
3.838394,6
3.852587,5
3.866912,7
3.881387,6
3.896040,7
3.910870,6
3.925443,7
3.940209,9
3.954505,7
3.968863,7
3.983244,8
3.998022,9
4.012759,7
4.027563,9
4.041837,9
4.056782,9
4.070714,8
4.085324,10
4.099548,10
4.113761,10
4.128230,10
4.142484,9
4.156849,9
4.171066,8
4.185712,7
4.200328,7
4.214499,3
4.229147,2
4.243868,3
4.258319,3
4.273558,3
4.288614,3
4.302987,3
4.317238,4
4.332527,5
4.346611,4
4.361928,4
4.377052,5
4.391805,5
4.406540,5
4.420711,5
4.435263,6
4.450190,7
4.464859,6
4.480036,6
4.494681,6
4.510438,7
4.525637,8
4.540388,8
4.555318,8
4.570189,7
4.584628,8
4.599375,8
4.613711,8
4.628897,8
4.643163,9
4.657382,9
4.672598,8
4.687115,8
4.701874,8
4.716127,8
4.730266,2
