time_s,cwnd_kb
0.000000,5.117
0.021653,5.117
0.041630,5.117
0.060866,14.141
0.080608,26.867
0.099738,48.078
0.119240,67.875
0.138257,93.328
0.157423,113.125
0.177138,137.164
0.197216,162.617
0.216971,183.828
0.236184,209.281
0.255643,230.492
0.275894,251.703
0.295151,272.914
0.314113,298.367
0.333487,319.578
0.353212,340.789
0.372543,366.242
0.392023,387.453
0.411071,412.906
0.430290,434.117
0.449790,455.328
0.468643,422.805
0.487503,390.281
0.506893,352.102
0.526116,320.992
0.544927,296.953
0.564372,265.844
0.582939,233.320
0.602263,227.664
0.621552,227.664
0.640581,227.664
0.659853,227.664
0.680338,226.250
0.700297,226.250
0.719481,214.938
0.738531,135.750
0.757627,115.953
0.776896,117.367
0.796618,117.367
0.816095,120.195
0.835453,135.750
0.854616,148.477
0.874115,142.820
0.893187,139.992
0.912302,132.922
0.931764,130.094
0.950976,130.094
0.970011,125.852
0.989299,125.852
1.008627,125.852
1.027987,125.852
1.048057,125.852
1.067766,125.852
1.086580,227.664
1.105342,227.664
1.125255,227.664
1.144541,227.664
1.163797,227.664
1.182566,227.664
1.201806,227.664
1.221501,154.133
1.241339,139.992
1.260757,127.266
1.280086,113.125
1.299814,113.125
1.319250,113.125
1.338371,113.125
1.357270,113.125
1.376892,113.125
1.395996,113.125
1.414976,113.125
1.434144,113.125
1.453768,104.641
1.473318,91.914
1.492821,80.602
1.512643,69.289
1.531793,56.562
1.550625,56.562
1.570070,56.562
1.589205,57.977
1.608054,57.977
1.626950,57.977
1.645962,59.391
1.665599,59.391
1.684987,60.805
1.704650,60.805
1.723820,60.805
1.743024,62.219
1.762027,62.219
1.780909,62.219
1.800639,63.633
1.819653,63.633
1.839007,63.633
1.858049,65.047
1.877304,65.047
1.896923,66.461
1.916316,66.461
1.935568,66.461
1.954720,67.875
1.973906,67.875
1.992890,67.875
2.012020,69.289
2.032112,69.289
2.051645,69.289
2.071014,70.703
2.091243,70.703
2.110752,70.703
2.129984,70.703
2.149379,72.117
2.169204,72.117
2.188999,72.117
2.208207,73.531
2.227773,73.531
2.246898,73.531
2.266087,74.945
2.285176,74.945
2.304942,74.945
2.324236,76.359
2.343945,76.359
2.363792,76.359
2.382901,76.359
2.402492,77.773
2.421811,77.773
2.441162,77.773
2.460715,79.188
2.479563,79.188
2.498512,79.188
2.517510,79.188
2.537150,80.602
2.556093,80.602
