time_s,rtt_ms
0.000000,8.730
0.101628,11.800
0.202499,15.300
0.303095,13.800
0.403600,12.600
0.504579,16.600
0.605987,14.200
0.706697,13.400
0.807563,16.100
0.908925,14.200
1.009680,11.200
1.110473,12.400
1.211423,13.800
1.312553,14.900
1.413273,12.100
1.513756,14.100
1.614946,16.400
1.715633,12.100
1.816690,13.500
1.917141,15.700
2.017609,13.500
2.118133,17.200
2.219086,12.600
2.319863,15.100
2.420906,12.300
2.521503,14.000
2.622701,15.100
2.723838,12.000
2.824540,15.900
2.925899,13.000
3.026941,13.900
3.127821,15.900
3.228295,12.700
3.328776,15.600
3.429561,11.900
3.530040,15.400
3.630550,11.900
3.731108,13.300
3.832268,14.900
3.932680,11.300
4.033600,14.900
4.134263,11.500
4.234979,13.500
4.335482,16.200
4.436440,12.900
4.537263,16.800
4.637966,14.400
4.738717,11.700
4.839661,14.800
4.940373,11.200
5.041193,14.300
5.142188,12.400
5.243146,14.400
5.343806,11.100
5.444379,15.100
5.545205,12.000
5.645868,16.000
5.746565,17.800
5.847477,13.200
5.948699,14.900
6.049016,13.400
6.149561,15.200
6.250445,11.900
6.351389,14.800
6.451769,11.200
6.552196,13.700
6.652672,12.900
6.752954,15.600
6.853620,12.800
6.954833,15.000
7.055752,13.400
7.156802,13.000
7.257689,16.300
7.358172,16.300
7.458694,16.500
7.559110,15.700
7.660488,11.400
7.760888,13.800
7.861703,14.900
7.962334,13.100
8.063093,15.200
8.163750,17.100
8.264397,15.100
8.364889,16.900
8.465839,12.900
8.566175,15.000
8.667488,11.200
8.767980,13.100
8.868933,14.900
8.970077,11.600
9.071176,11.400
9.172578,15.300
9.273600,12.700
9.374510,14.600
9.475072,11.200
9.575378,13.500
9.675683,12.700
9.776623,16.300
9.877153,12.900
9.977995,16.000
10.079303,429.000
10.179848,546.000
10.280910,664.000
10.382371,707.000
10.483012,824.000
10.584538,832.000
10.685210,842.000
10.785912,850.000
10.886566,803.000
10.987283,812.000
11.088097,765.000
11.189496,773.000
11.290759,781.000
11.392077,763.000
11.492489,716.000
11.593453,670.000
11.693914,625.000
11.795211,549.000
11.896065,566.000
11.997140,683.000
12.098198,792.000
12.198715,777.000
12.300027,789.000
12.400848,829.000
12.501938,784.000
12.602399,797.000
12.703612,807.000
12.804293,821.000
12.905393,804.000
13.006241,798.000
13.106609,782.000
13.207254,793.000
13.308034,805.000
13.408625,818.000
13.509545,774.000
13.610253,787.000
13.710968,798.000
13.811850,761.000
13.913400,702.000
14.014267,673.000
14.114753,604.000
14.215382,555.000
14.316651,509.000
14.417668,447.000
14.519076,436.000
14.619855,424.000
14.720951,435.000
14.821803,418.000
14.922194,415.000
15.022886,422.000
15.124285,416.000
15.224760,402.000
15.325597,399.000
15.426659,392.000
15.527379,403.000
15.628632,391.000
15.729679,351.000
15.830206,289.000
15.930585,238.000
16.030976,208.000
16.132130,216.000
16.232862,212.000
16.333515,209.000
16.434039,210.000
16.534491,211.000
16.635525,214.000
16.735948,213.000
16.837354,223.000
16.938254,215.000
17.038731,233.000
17.140251,218.000
17.241793,215.000
17.342522,217.000
17.443881,215.000
17.544438,229.000
17.645277,219.000
17.746071,228.000
17.846706,218.000
17.947155,223.000
18.047550,220.000
18.148120,234.000
18.249532,224.000
18.350052,221.000
18.451344,220.000
18.552121,238.000
18.652958,227.000
18.754030,230.000
18.855187,238.000
18.956559,223.000
19.057526,230.000
19.157909,234.000
19.258613,239.000
19.359163,230.000
19.459730,226.000
19.560268,233.000
19.660658,228.000
19.761184,236.000
19.861743,1066.000
19.962565,1947.000
20.063241,2295.000
20.164044,2328.000
20.264951,2325.000
20.366164,2298.000
20.467423,2330.000
20.568337,2375.000
20.669707,2408.000
20.770424,2308.000
20.871186,2352.000
20.972448,2374.000
21.073059,2322.000
21.173835,2466.000
21.274493,2366.000
21.375736,2301.000
21.476987,2310.000
21.578466,2487.000
21.679613,2387.000
21.780728,2359.000
21.881644,2344.000
21.982385,2377.000
22.185280,2333.000
22.083622,2434.000
22.286544,2330.000
22.387612,2375.000
22.488343,2327.000
22.589916,2319.000
22.690474,2426.000
22.790964,2326.000
22.891741,2371.000
22.992732,2404.000
23.093504,2340.000
23.194949,2349.000
23.295469,2370.000
23.396451,2560.000
23.497228,2461.000
23.597834,2361.000
23.698482,2407.000
23.798999,2597.000
23.900271,2496.000
24.001150,2396.000
24.101802,2370.000
24.202283,2355.000
24.302929,2389.000
24.404180,2445.000
24.505072,2344.000
24.606324,2341.000
24.707571,2386.000
24.808401,2334.000
24.908867,2332.000
25.009423,2438.000
25.110890,2337.000
25.212456,2382.000
25.313854,2414.000
25.414246,2351.000
25.514821,2361.000
25.615484,2381.000
25.716021,2572.000
25.816453,2473.000
25.917766,2371.000
26.019020,2418.000
26.119860,2620.000
26.221299,2519.000
26.321985,2419.000
26.423252,2392.000
26.523877,2376.000
26.624338,2409.000
26.724860,2469.000
26.825400,2367.000
26.926263,2365.000
27.027288,2410.000
27.128723,2358.000
27.229827,2354.000
27.330466,2460.000
27.431624,2360.000
27.532791,2406.000
27.633546,2439.000
27.734018,2339.000
27.834937,2240.000
27.935553,2142.000
28.036477,2043.000
28.238975,1845.000
28.137742,1947.000
28.340159,1747.000
28.441873,1652.000
28.644044,1450.000
28.543115,1551.000
28.745251,1350.000
28.846139,1251.000
28.947192,1153.000
29.148005,956.000
29.047602,1057.000
29.248677,858.000
29.349481,758.000
29.450124,661.000
29.550698,562.000
29.651882,463.000
29.753423,363.000
29.853842,267.000
29.954759,169.000
30.055534,68.400
30.156396,53.300
30.257348,54.300
30.358476,49.600
30.459489,51.800
30.560912,54.800
30.661795,53.600
30.762952,53.700
30.864085,55.500
30.965008,60.300
31.065934,56.300
31.166771,63.700
31.267658,58.700
31.368644,53.600
31.469643,63.500
31.571051,58.100
31.672682,62.000
31.773478,63.400
31.874363,64.700
31.975338,66.600
32.075947,59.800
32.176442,64.500
32.277002,70.700
32.377627,62.000
32.478504,59.000
32.578988,65.200
32.679521,60.400
32.780826,66.700
32.882024,64.600
32.982887,63.600
33.084707,69.400
33.185939,68.900
33.287386,66.600
33.388600,65.100
33.489969,66.200
33.591030,64.200
33.692110,67.800
33.792915,66.700
33.893943,61.200
33.994837,33.400
34.096002,43.500
34.196729,34.500
34.297611,37.900
