time_s,rtt_ms
0.000000,6.720
0.101598,13.100
0.202032,15.700
0.302623,14.000
0.403198,12.600
0.503571,16.900
0.604116,13.400
0.704599,18.000
0.805988,14.000
0.907304,12.500
1.008935,15.300
1.109975,13.900
1.210936,16.900
1.311742,14.400
1.413069,12.200
1.513952,16.600
1.614762,14.600
1.716330,12.200
1.817220,12.600
1.918125,16.800
2.018656,14.200
2.119706,16.600
2.220423,12.700
2.320976,15.500
2.421522,15.600
2.522076,14.400
2.622568,12.700
2.723672,16.600
2.824611,14.400
2.925438,11.300
3.026134,15.700
3.126858,15.300
3.227284,13.700
3.327755,11.200
3.428552,14.600
3.529887,15.700
3.630383,17.300
3.730937,16.800
3.832454,16.100
3.933523,15.900
4.034125,11.800
4.134809,14.400
4.236064,12.400
4.337512,15.200
4.438246,14.200
4.539298,16.400
4.640990,15.600
4.741613,13.400
4.842238,15.200
4.942987,14.400
5.043694,12.600
5.144386,17.200
5.244808,15.200
5.345200,11.900
5.446522,14.000
5.548046,16.100
5.648620,12.600
5.749469,14.900
5.850096,12.600
5.950826,16.300
6.051663,13.800
6.152571,15.000
6.253255,11.600
6.354100,13.800
6.454603,11.100
6.555085,13.900
6.656108,16.600
6.756621,16.100
6.857392,16.900
6.958689,13.000
7.059144,16.600
7.160242,13.500
7.260793,16.400
7.361450,13.900
7.461911,16.000
7.562643,13.000
7.663757,16.900
7.764662,15.100
7.865561,13.400
7.966320,12.500
8.067056,13.700
8.167695,17.300
8.268454,13.700
8.368987,12.200
8.469726,15.400
8.570383,11.900
8.671281,14.200
8.772212,12.400
8.873572,15.200
8.975245,14.000
9.076158,14.900
9.177024,12.200
9.277804,18.100
9.378742,15.800
9.479199,14.500
9.579647,14.500
9.680531,16.500
9.781430,13.600
9.882298,17.400
9.983019,14.200
10.083587,434.000
10.184709,551.000
10.285341,669.000
10.386241,725.000
10.486940,842.000
10.588194,960.000
10.689450,1076.000
10.790479,1084.000
10.891632,1201.000
10.992022,1319.000
11.092806,1383.000
11.193802,1499.000
11.294809,1616.000
11.395239,1733.000
11.496539,1850.000
11.597845,1859.000
11.698418,2018.000
11.799050,2136.000
11.900396,2252.000
12.001503,2369.000
12.102401,2487.000
12.203795,2603.000
12.304566,2612.000
12.405276,2729.000
12.506439,2847.000
12.607115,2964.000
12.708390,3080.000
12.809162,3197.000
12.909925,3205.000
13.011084,3322.000
13.112352,3440.000
13.213005,3557.000
13.313834,3674.000
13.415257,3792.000
13.516157,3909.000
13.617502,3916.000
13.718132,4118.000
13.818932,4127.000
13.920305,4243.000
14.021831,4360.000
14.123408,4477.000
14.224959,4593.000
14.325861,4686.000
14.426300,4828.000
14.527034,4836.000
14.627669,4953.000
14.729238,5070.000
14.829824,5187.000
14.931097,7268.000
15.032660,9346.000
22.409640,9972.000
22.611583,9770.000
22.712534,9669.000
22.510337,9871.000
22.813579,9590.000
22.914635,9489.000
23.016400,9387.000
23.117314,9287.000
23.218430,9186.000
23.319800,9107.000
23.622885,8803.000
23.521867,8905.000
23.420519,9006.000
23.825372,8601.000
23.724337,8702.000
24.027448,8421.000
24.128577,8319.000
24.330307,8119.000
24.229485,8219.000
23.926290,8522.000
24.431040,8040.000
24.835612,7635.000
24.734719,7736.000
24.633141,7838.000
24.532271,7939.000
24.936986,7556.000
25.038409,7455.000
25.342738,7151.000
25.140121,7353.000
25.443926,7049.000
25.241455,7252.000
25.848058,6668.000
25.646372,6869.000
25.544919,6971.000
25.747128,6769.000
25.949254,6565.000
26.151729,6386.000
26.050362,6487.000
26.453586,6084.000
26.252343,6284.000
26.352950,6184.000
26.554560,5983.000
26.655439,5904.000
26.756808,5803.000
27.059914,5500.000
26.858250,5701.000
26.959151,5601.000
27.160773,5421.000
27.261888,5320.000
27.362775,5219.000
27.463430,5118.000
27.564000,5018.000
27.665326,4938.000
27.868333,4735.000
28.171613,4432.000
27.969615,4634.000
27.766761,4837.000
28.070719,4533.000
28.272305,4353.000
28.575571,4050.000
28.676002,3950.000
28.474732,4151.000
28.373596,4251.000
28.777485,3871.000
29.282401,3366.000
28.878109,3770.000
28.978950,3669.000
29.080213,3568.000
29.181064,3467.000
29.484061,3186.000
29.786995,2884.000
29.585375,3085.000
29.686361,2984.000
29.383377,3287.000
30.089664,2603.000
30.291707,2401.000
29.888207,2805.000
30.190817,2502.000
29.988815,2704.000
30.392290,2345.000
30.492956,2443.000
30.594119,2544.000
30.694737,2517.000
30.997941,2214.000
30.896740,2315.000
31.098705,2113.000
30.796117,2416.000
31.199417,2199.000
31.300468,2299.000
31.401647,2386.000
31.502297,2453.000
32.007228,1948.000
31.906247,2049.000
31.703971,2251.000
31.804920,2150.000
31.602831,2352.000
32.107701,1940.000
32.209078,2041.000
32.310163,2140.000
32.411231,2230.000
32.512120,2329.000
32.713469,2196.000
32.612947,2296.000
32.915331,1994.000
32.814434,2095.000
33.015859,1921.000
33.116598,2010.000
33.217561,2110.000
33.318204,2197.000
33.418576,2297.000
33.519508,2340.000
33.721278,2138.000
33.822082,2037.000
33.620295,2240.000
33.922677,1937.000
34.023713,1965.000
34.124726,2066.000
34.225168,2152.000
34.326313,2240.000
34.427729,2340.000
34.528415,2284.000
34.629807,2182.000
34.832764,1979.000
34.731467,2081.000
34.933903,1916.000
35.035418,2014.000
35.136980,2102.000
35.238566,2200.000
35.339311,2300.000
35.843579,1918.000
35.642144,2119.000
35.439720,2322.000
35.742912,2019.000
35.541357,2220.000
35.944692,1981.000
36.045528,2067.000
36.146741,2155.000
36.247276,2255.000
36.348144,2342.000
36.549391,2163.000
36.650045,2063.000
36.448872,2264.000
36.750461,1962.000
36.850847,1934.000
36.951480,2023.000
37.052254,2112.000
37.153409,2213.000
37.253900,2301.000
37.759073,1908.000
37.354655,2312.000
37.456044,2211.000
37.658132,2009.000
37.557303,2109.000
37.859723,1991.000
37.960188,3691.000
41.795020,9953.000
42.199301,9549.000
42.602126,9146.000
41.997032,9751.000
42.501367,9247.000
42.703206,9045.000
42.098536,9650.000
42.299873,9448.000
41.895995,9852.000
42.400646,9348.000
43.307182,8453.000
43.105908,8654.000
43.408082,8352.000
43.206597,8554.000
43.610217,8150.000
43.509353,8251.000
42.904030,8856.000
42.803585,8957.000
43.004713,8755.000
43.710870,8049.000
43.912494,7853.000
44.315377,7450.000
44.416272,7349.000
43.811499,7954.000
44.013810,7751.000
44.214781,7551.000
44.517482,7248.000
44.114367,7652.000
44.718592,7047.000
44.617821,7147.000
45.023096,6749.000
45.729772,6042.000
44.921591,6850.000
45.830287,5941.000
45.225661,6546.000
46.837298,4935.000
45.326817,6445.000
46.937930,4835.000
46.233171,5539.000
51.370944,403.000
45.427680,6344.000
45.124206,6647.000
46.031425,5740.000
45.528401,6244.000
46.635627,5136.000
45.930911,5841.000
47.341020,4432.000
50.663907,1109.000
49.454924,2318.000
47.642812,4130.000
51.471438,302.000
47.239623,4533.000
50.966337,807.000
44.820109,6952.000
48.146363,3627.000
46.736520,5035.000
47.139092,4634.000
51.572126,202.000
50.160213,1613.000
50.059490,1714.000
51.672715,101.000
50.764975,1008.000
49.354402,2419.000
48.750613,3022.000
49.858460,1915.000
48.246942,3526.000
51.168946,605.000
50.463032,1310.000
45.629055,6143.000
46.132175,5640.000
50.563279,1211.000
46.434420,5338.000
46.534743,5238.000
50.261561,1512.000
48.951864,2821.000
51.269953,504.000
48.549371,3224.000
50.362179,1411.000
47.542161,4231.000
51.067750,706.000
47.844332,3928.000
49.253949,2520.000
47.441664,4332.000
48.448059,3325.000
49.052597,2721.000
46.333927,5438.000
49.555638,2218.000
47.038497,4734.000
48.045550,3727.000
48.851207,2922.000
49.959044,1815.000
49.153469,2620.000
47.743975,4029.000
48.649874,3123.000
50.865425,908.000
49.757590,2016.000
49.657013,2117.000
47.944772,3828.000
48.347630,3425.000
51.773467,46.700
51.875111,52.300
51.976155,94.900
52.077048,115.000
52.177548,95.700
52.278288,97.900
52.379382,104.000
52.480179,100.000
52.581320,105.000
52.682048,109.000
52.783472,98.000
52.884199,106.000
52.984777,103.000
53.085371,101.000
53.186141,110.000
53.287126,101.000
53.388053,97.600
53.489100,105.000
53.589798,105.000
53.690702,101.000
53.791151,105.000
53.892195,102.000
53.993160,102.000
54.094119,101.000
54.195505,102.000
54.296403,105.000
54.396954,103.000
54.497875,102.000
54.598678,99.200
54.699079,108.000
54.799857,96.600
54.900931,101.000
55.001739,109.000
55.102276,103.000
55.202716,99.400
55.303236,109.000
55.404158,101.000
55.504771,101.000
55.605705,99.500
55.706732,101.000
55.807508,105.000
55.908377,102.000
56.009282,98.400
56.109951,109.000
56.210350,103.000
56.310782,99.500
56.411680,107.000
56.512682,104.000
56.613772,101.000
56.714530,110.000
56.815553,102.000
56.916096,97.700
57.016729,105.000
57.118308,102.000
57.219484,97.600
57.320626,105.000
57.421001,102.000
57.522076,98.100
57.623428,105.000
57.724280,103.000
57.825232,104.000
57.925952,102.000
58.026424,99.600
58.127129,107.000
58.228239,105.000
58.328789,103.000
58.429725,106.000
58.530426,103.000
58.631610,101.000
58.732512,103.000
58.833327,102.000
58.934068,99.000
59.034862,108.000
59.135328,100.000
59.235764,105.000
59.336627,105.000
59.437205,103.000
59.537711,99.600
59.638519,108.000
59.739054,103.000
59.839632,103.000
